TEST Match No,Match ID,Match Name,Series ID,Series Name,Match Start Date,Match End Date,Match Format,Team1 ID,Team1 Name,Team1 Captain,Innings1 Team1 Runs Scored,Innings1 Team1 Wickets Fell,Innings1 Team1 Extras Rec,Innings2 Team1 Runs Scored,Innings2 Team1 Wickets Fell,Innings2 Team1 Extras Rec,Team2 ID,Team2 Name,Team2 Captain,Innings1 Team2 Runs Scored,Innings1 Team2 Wickets Fell,Innings1 Team2 Extras Rec,Innings2 Team2 Runs Scored,Innings2 Team2 Wickets Fell,Innings2 Team2 Extras Rec,Match Venue (Stadium),Match Venue (City),Match Venue (Country),Umpire 1,Umpire 2,Match Referee,Toss Winner,Toss Winner Choice,Match Winner,Match Result Text,MOM Player,Team1 Playing 11,Team2 Playing 11,Debut Players
2452,1278682,India Vs Sri Lanka 1St Test,1268315,Sri Lanka in India  - 2022 (2021/22),2022-03-04,2022-03-06,TEST,6,India,48405,574,8,28,,,,8,Sri Lanka,48988,174.0,10.0,14.0,178.0,10.0,10.0,Punjab Cricket Association IS Bindra Stadium,Chandigarh,India,Nitin Menon,VK Sharma,J Srinath,India,bat,India,India won by an innings and 222 runs,49247.0,"['59599', '48405', '62182', '49752', '86165', '71331', '49247', '12894', '62051', '63646', '70640']","['48988', '52405', '93033', '47023', '62760', '78229', '61131', '46995', '81061', '62757', '78235']",[]
2456,1278683,India Vs Sri Lanka 2Nd Test,1268315,Sri Lanka in India  - 2022 (2021/22),2022-03-12,2022-03-14,TEST,6,India,48405,252,10,17,303.0,9.0,10.0,8,Sri Lanka,48988,109.0,10.0,1.0,208.0,10.0,20.0,M Chinnaswamy Stadium,Bengaluru,India,AK Chaudhary,Nitin Menon,J Srinath,India,bat,India,India won by 238 runs,71331.0,"['59599', '48405', '62182', '49752', '86165', '71331', '49247', '12894', '67455', '63646', '70640']","['70888', '48988', '52405', '47023', '62760', '78229', '61131', '81061', '46995', '93043', '62757']",[]
2470,1320741,England Vs India 5Th Test,1268315,India tour of England  - 2021 (2021-2022),2022-07-01,2022-07-05,TEST,6,India,70640,416,10,40,245.0,10.0,19.0,1,England,53320,284.0,10.0,35.0,378.0,3.0,20.0,Edgbaston,Birmingham,England,Aleem Dar,RA Kettleborough,DC Boon,England,bowl,England,England won by 7 wickets,52161.0,"['95316', '17752', '62182', '49752', '86165', '71331', '49247', '63477', '63646', '70640', '87477']","['62559', '72167', '83357', '52656', '52161', '62431', '53320', '52241', '48440', '93003', '10829']",[]
2481,1340848,Bangladesh Vs India 1St Test,1268315,India in Bangladesh  - 2022 (2022/23),2022-12-14,2022-12-18,TEST,6,India,60530,404,10,8,258.0,2.0,4.0,25,Bangladesh,48277,150.0,10.0,13.0,324.0,10.0,6.0,Zahur Ahmed Chowdhury Stadium,Chattogram,Bangladesh,MA Gough,Sharfuddoula,RS Madugalle,India,bat,India,India won by 188 runs,67609.0,"['60530', '95316', '17752', '49752', '86165', '71331', '67455', '12894', '67609', '58274', '87477']","['70872', '74117', '70873', '66691', '47986', '48277', '60030', '70877', '59679', '86321', '85937']",['74117']
2484,1340849,Bangladesh Vs India 2Nd Test,1268315,India in Bangladesh  - 2022 (2022/23),2022-12-22,2022-12-25,TEST,25,Bangladesh,48277,227,10,11,231.0,10.0,8.0,6,India,60530,314.0,10.0,5.0,145.0,7.0,2.0,Shere Bangla National Stadium,Dhaka,Bangladesh,CM Brown,Sharfuddoula,RS Madugalle,Bangladesh,bat,India,India won by 3 wickets,12894.0,"['70872', '74117', '58225', '48277', '47986', '66691', '70877', '60030', '66808', '59679', '85937']","['60530', '95316', '17752', '49752', '86165', '71331', '67455', '12894', '59261', '58274', '87477']",[]
2490,1348652,India Vs Australia 1St Test,1268315,Australia in India  - 2023 (2022/23),2023-02-09,2023-02-11,TEST,2,Australia,64244,177,10,15,91.0,10.0,5.0,6,India,48405,400.0,10.0,10.0,,,,Vidarbha Cricket Association Stadium,Nagpur,India,Nitin Menon,RK Illingworth,AJ Pycroft,Australia,bat,India,India won by an innings and 132 runs,49247.0,"['48739', '48671', '78285', '50281', '75375', '55321', '54314', '64244', '105889', '50724', '61993']","['48405', '60530', '12894', '17752', '49752', '61990', '49247', '66183', '67455', '63646', '87477']","['66183', '61990', '105889']"
2493,1348653,India Vs Australia 2Nd Test,1268315,Australia in India  - 2023 (2022/23),2023-02-17,2023-02-19,TEST,2,Australia,64244,263,10,16,113.0,10.0,0.0,6,India,48405,262.0,10.0,19.0,118.0,4.0,0.0,Arun Jaitley Stadium,Delhi,India,MA Gough,Nitin Menon,AJ Pycroft,Australia,bat,India,India won by 6 wickets,49247.0,"['75375', '48739', '48671', '78285', '50281', '66190', '55321', '54314', '64244', '105889', '50724']","['48405', '60530', '17752', '49752', '71331', '49247', '66183', '67455', '12894', '63646', '87477']",['77665']
2496,1348654,India Vs Australia 3Rd Test,1268315,Australia in India  - 2023 (2022/23),2023-03-01,2023-03-03,TEST,6,India,48405,109,10,0,163.0,10.0,7.0,2,Australia,50281,197.0,10.0,22.0,78.0,1.0,1.0,Holkar Cricket Stadium,Indore,India,JS Wilson,Nitin Menon,BC Broad,India,bat,Australia,Australia won by 9 wickets,50724.0,"['48405', '95316', '17752', '49752', '49247', '71331', '66183', '67455', '12894', '58274', '87477']","['66190', '48671', '78285', '50281', '55321', '96335', '54314', '53330', '50724', '105889', '77665']",[]
2499,1348655,India Vs Australia 4Th Test,1268315,Australia in India  - 2023 (2022/23),2023-03-09,2023-03-13,TEST,2,Australia,50281,480,10,15,175.0,2.0,6.0,6,India,48405,571.0,9.0,22.0,,,,Narendra Modi Stadium,Ahmedabad,India,Nitin Menon,RA Kettleborough,BC Broad,Australia,bat,,Match drawn,49752.0,"['66190', '48671', '78285', '50281', '55321', '96335', '54314', '53330', '50724', '105889', '77665']","['48405', '95316', '17752', '49752', '49247', '66183', '67455', '12894', '58274', '63646', '71331']",[]
2505,1358412,Australia Vs India Final,1268315,ICC World Test Championship  - 2021 (2021-2023),2023-06-07,2023-06-11,TEST,2,Australia,64244,469,10,38,270.0,8.0,26.0,6,India,48405,296.0,10.0,29.0,234.0,10.0,13.0,Kennington Oval,London,England,CB Gaffaney,RK Illingworth,RB Richardson,India,bowl,Australia,Australia won by 209 runs,66190.0,"['48739', '48671', '78285', '50281', '66190', '96335', '54314', '53330', '64244', '50724', '61993']","['48405', '95316', '17752', '49752', '51096', '49247', '66183', '63477', '58274', '63646', '87477']",[]
2510,1381212,West Indies Vs India 1St Test,1345943,India in West Indies  - 2023 (2023),2023-07-12,2023-07-14,TEST,4,West Indies,56801,150,10,10,130.0,10.0,4.0,6,India,48405,421.0,5.0,24.0,,,,Windsor Park,Roseau,West Indies,MA Gough,RA Kettleborough,JJ Crowe,West Indies,bat,India,India won by an innings and 141 runs,102743.0,"['56801', '70310', '62139', '61417', '96368', '104283', '59339', '72397', '64418', '49034', '61431']","['102743', '48405', '95316', '49752', '51096', '49247', '75325', '12894', '63477', '59261', '87477']","['96368', '75325', '102743']"
2513,1381213,West Indies Vs India 2Nd Test,1345943,India in West Indies  - 2023 (2023),2023-07-20,2023-07-24,TEST,6,India,48405,438,10,13,181.0,2.0,5.0,4,West Indies,56801,255.0,10.0,18.0,76.0,2.0,4.0,Queen's Park Oval,Port of Spain,West Indies,M Erasmus,RA Kettleborough,JJ Crowe,West Indies,bowl,,Match drawn,87477.0,"['102743', '48405', '95316', '49752', '51096', '49247', '75325', '12894', '59261', '87477', '85763']","['56801', '70310', '106989', '61417', '96368', '104283', '59339', '72397', '49034', '61431', '61982']","['106989', '85763']"
2520,1387603,South Africa Vs India 1St Test,1345943,India in South Africa  - 2023 (2023/24),2023-12-26,2023-12-28,TEST,6,India,48405,245,10,13,131.0,10.0,8.0,3,South Africa,58190,408.0,9.0,24.0,,,,SuperSport Park,Centurion,South Africa,L Rusere,PR Reiffel,BC Broad,South Africa,bowl,South Africa,South Africa won by an innings and 32 runs,49044.0,"['102743', '48405', '95316', '49752', '71331', '60530', '12894', '63477', '70640', '87477', '84635']","['70277', '49044', '74137', '63897', '64531', '69377', '73871', '69729', '67296', '89925', '58190']","['64531', '89925', '84635']"
2522,1387604,South Africa Vs India 2Nd Test,1345943,India in South Africa  - 2023 (2023/24),2024-01-03,2024-01-04,TEST,3,South Africa,49044,55,10,5,176.0,10.0,6.0,6,India,48405,153.0,10.0,24.0,80.0,3.0,10.0,Newlands,Cape Town,South Africa,Ahsan Raza,L Rusere,BC Broad,South Africa,bat,India,India won by 7 wickets,87477.0,"['70277', '49044', '74137', '69697', '64531', '69377', '73871', '50309', '67296', '89925', '66941']","['102743', '48405', '95316', '49752', '71331', '60530', '49247', '70640', '87477', '84635', '85763']",['69697']
2525,1389399,India Vs England 1St Test,1345943,England in India  - 2024 (2023/24),2024-01-25,2024-01-28,TEST,1,England,53320,246,10,3,420.0,10.0,32.0,6,India,48405,436.0,10.0,15.0,202.0,10.0,20.0,Rajiv Gandhi International Stadium,Hyderabad,India,CB Gaffaney,PR Reiffel,RB Richardson,England,bat,England,England won by 28 runs,83357.0,"['72167', '65672', '83357', '52656', '52161', '53320', '57839', '109430', '102682', '56993', '62431']","['102743', '48405', '95316', '60530', '71331', '49247', '66183', '12894', '67455', '70640', '87477']",['102682']
2526,1389400,India Vs England 2Nd Test,1345943,England in India  - 2024 (2023/24),2024-02-02,2024-02-05,TEST,6,India,48405,396,10,2,255.0,10.0,3.0,1,England,53320,253.0,10.0,9.0,292.0,10.0,15.0,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,India,CB Gaffaney,M Erasmus,RB Richardson,India,bat,India,India won by 106 runs,70640.0,"['102743', '48405', '95316', '71331', '80645', '67455', '66183', '12894', '67609', '70640', '85763']","['72167', '65672', '83357', '52656', '52161', '53320', '57839', '109430', '102682', '10829', '113237']","['80645', '113237']"
2530,1389401,India Vs England 3Rd Test,1345943,England in India  - 2024 (2023/24),2024-02-15,2024-02-18,TEST,6,India,48405,445,10,9,430.0,4.0,11.0,1,England,53320,319.0,10.0,20.0,122.0,10.0,12.0,Saurashtra Cricket Association Stadium,Rajkot,India,JS Wilson,HDPK Dharmasena,JJ Crowe,India,bat,India,India won by 434 runs,49247.0,"['102743', '48405', '95316', '80645', '49247', '71335', '67609', '104817', '12894', '70640', '87477']","['72167', '65672', '83357', '52656', '52161', '53320', '57839', '109430', '102682', '56993', '10829']","['104817', '71335']"
2531,1389402,India Vs England 4Th Test,1345943,England in India  - 2024 (2023/24),2024-02-23,2024-02-26,TEST,1,England,53320,353,10,19,145.0,10.0,0.0,6,India,48405,307.0,10.0,23.0,192.0,5.0,5.0,JSCA International Stadium Complex,Ranchi,India,HDPK Dharmasena,RJ Tucker,JJ Crowe,England,bat,India,India won by 5 wickets,104817.0,"['72167', '65672', '83357', '52656', '52161', '53320', '57839', '102682', '66104', '113237', '10829']","['102743', '48405', '95316', '80645', '49247', '71335', '104817', '12894', '67609', '104922', '87477']",['104922']
2534,1389403,India Vs England 5Th Test,1345943,England in India  - 2024 (2023/24),2024-03-07,2024-03-09,TEST,1,England,53320,218,10,5,195.0,10.0,8.0,6,India,48405,477.0,10.0,6.0,,,,Himachal Pradesh Cricket Association Stadium,Dharamsala,India,JS Wilson,RJ Tucker,JJ Crowe,England,bat,India,India won by an innings and 64 runs,67609.0,"['72167', '65672', '83357', '52656', '52161', '53320', '57839', '102682', '56993', '113237', '10829']","['102743', '48405', '95316', '100878', '71335', '49247', '104817', '12894', '67609', '70640', '87477']",['100878']
